gebietsebene,gebiet_code,indikator_code,stichtag,qualitaetsstatus,grund
zaehlbezirk,0902,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,0903,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,0904,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,0905,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,0906,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1001,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1002,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1003,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1004,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1005,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1006,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1007,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1008,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1009,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1010,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1011,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1012,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1013,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1014,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1015,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
zaehlbezirk,1016,anteil_einpersonenwohnungen_prozent,2011-10-31,nicht_verfuegbar,deaktiviert_dimensionsinkonsistenz_personen_vs_wohnungen
